name,category,city,location,longitude,latitude,description,image_url,avg_price,tags
石梯蒸鱼,特色江湖菜,达州市,达州市渠县,106.95,30.85,渠县招牌名菜，选用鲜活河鱼，以荷叶打底蒸制，搭配青花椒、剁椒调味，鱼肉细嫩无腥，带着荷叶清香与椒麻风味，鲜辣开胃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/shitizhengyu.jpg,50,"江湖菜,荷叶蒸鱼,鲜辣开胃"
江阳酸辣鸡,特色江湖菜,达州市,达州市达川区,107.52,31.08,达州经典下饭硬菜，选用散养土鸡，搭配泡姜泡椒、酸菜猛火焖煮，鸡肉紧实入味，汤汁酸辣浓郁，拌米饭食用堪称一绝。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/jiangyangsuanlaji.jpg,60,"江湖菜,酸辣鸡,下饭硬菜"
羊肉格格,特色蒸菜,达州市,达州市开江县/通川区,107.87,31.09,达州街头顶流小吃，小蒸笼中垫上土豆或红薯，铺上裹满米粉的鲜羊肉，麻辣鲜香、软烂入味，一口下去肉香与米香交织，香气浓郁。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/yangrougege.jpg,20,"特色蒸菜,麻辣鲜香,米粉羊肉"
三汇水八块,特色凉菜,达州市,达州市渠县三汇镇,106.87,30.78,渠县传统名菜，选用散养土鸡，煮熟后切薄片，淋上红油、花椒等秘制调料，鸡肉鲜嫩、麻辣鲜香，口感脆嫩爽口，是当地宴席的必备凉菜。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/sanhuishuibakuai.jpg,40,"特色凉菜,麻辣鲜香,土鸡"
肉汤圆,特色早餐/小吃,达州市,达州市通川区,107.49,31.22,达州独有的咸口汤圆，糯米皮包裹鲜肉馅料，煮熟后皮薄馅足、软糯鲜香，搭配红油或清汤食用，是本地人早餐的暖心选择。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/routangyuan.jpg,12,"早餐小吃,咸口汤圆,软糯鲜香"
孝泉果汁牛肉,特色特产,德阳市,德阳市旌阳区,104.28,31.25,当地回民特色美食，口感外酥里嫩，味道融合咸甜麻辣，还带有淡淡果香，口感丰富，既可当作零食，也是送礼佳品。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/xiaoquanguozhiniurou.jpg,35,"特产零食,咸甜麻辣,果香"
连山回锅肉,经典川菜,德阳市,德阳市广汉市,104.25,31.03,德阳代表性菜品，肉片厚薄适中，炒制后肥而不腻，酱香醇厚浓郁，搭配配菜口感鲜香，是下饭佳肴。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/lianshanhuiguorou.jpg,50,"经典川菜,回锅肉,酱香浓郁"
广汉缠丝兔,卤味熟食,德阳市,德阳市广汉市,104.22,31.00,传统手工腌制卤制而成，肉质紧实细腻，风味醇厚绵长，麻香咸鲜入味，是当地知名特色伴手美食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/guanghanchansitu.jpg,65,"卤味熟食,麻香咸鲜,紧实"
罗江豆鸡,风味素食,德阳市,德阳市罗江区,104.47,31.28,以黄豆食材制作而成，外形口感酷似鸡肉，豆香十足，筋道爽口，卤香扑鼻，老少皆宜。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/luojiangdouji.jpg,20,"风味素食,豆制品,卤香筋道"
什邡板鸭,腊味卤菜,德阳市,德阳市什邡市,104.16,31.13,历经多道工序制作，表皮色泽金黄，鸭肉紧实鲜嫩，咸香适口，风味地道，是当地宴席常见菜品。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/shifangbanya.jpg,55,"腊味卤菜,板鸭,咸香紧实"
黄许哑巴兔,江湖热菜,德阳市,德阳市旌阳区,104.42,31.17,选用新鲜兔肉搭配鲜椒花椒爆炒，肉质滑嫩紧实，鲜辣香气十足，口味地道，深受本地人喜爱。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/huangxuyabatu.jpg,60,"江湖热菜,兔肉,鲜辣滑嫩"
丹巴香猪腿,藏式腊味,甘孜州,甘孜州丹巴县,101.90,30.90,选用高原散养藏香猪，常年奔走于雪山草甸，采食野花虫草生长。每逢寒冬，藏家居民以传统工艺腌制、柏枝熏烤、自然风干数月而成。肉质色泽透亮、纹理紧实，蒸熟后醇香浓郁、肥而不腻，饱含高原风雪与阳光的味道，是藏区世代传承的待客佳肴。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/danbaxiangzhutui.jpg,100,"藏式腊味,藏香猪,醇香浓郁"
甘孜团结包子,特色主食,甘孜州,甘孜州康定市,101.85,30.18,是藏区极具寓意的特色美食，因多人围坐分食、象征团结和睦而得名。超大面皮包裹新鲜牦牛肉、土豆、青稞碎等馅料，大火整笼蒸熟，面皮软糯劲道，内馅饱满多汁、鲜香浓郁。每逢节庆团聚必备，一口暖心暖胃，藏着藏汉相融的温情烟火。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/ganzituanjiebaozi.jpg,40,"藏式主食,牦牛肉馅,团结寓意"
高原牦牛肉汤锅,特色汤锅,甘孜州,甘孜州全域,100.28,28.36,取自雪域高原天然放养牦牛，肉质紧实细嫩、自带淡淡奶香。以牛骨文火慢熬数小时，汤底醇厚乳白，搭配野生菌、高山蔬菜炖煮，原汁原味、鲜而不膻。寒风凛冽的高原之上，一锅热气腾腾的牦牛肉汤锅，驱散寒意、滋补养生，是藏区最治愈的特色美味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/gaoyuanmaoniuroutangguo.jpg,80,"特色汤锅,牦牛肉,原汁原味"
藏式酥油茶,特色茶饮,甘孜州,甘孜州全域,101.47,30.77,是藏族人民千年以来的日常饮品，以高原砖茶熬煮出浓郁茶汤，搭配牦牛酥油、食盐反复捶打融合。口感醇香厚重、咸香独特，既能缓解高原干燥、抵御高寒缺氧，又能解腻充饥，一杯下肚暖意绵长，承载着浓郁的藏地民俗风情。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/zangshisuyoucha.jpg,22,"特色茶饮,酥油茶,咸香醇厚"
高原糌粑,传统藏式小吃,甘孜州,甘孜州全域,102.02,29.58,以高原独有青稞为原料，经阳光晾晒、炒熟打磨制成细腻粉面。食用时搭配酥油茶、奶渣揉捏成团，口感扎实醇香、麦香浓郁，方便耐饥、营养十足。千百年来陪伴藏族游牧生活，是最淳朴、最地道的高原经典美食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/gaoyuanzanba.jpg,15,"藏式小吃,青稞,麦香耐饥"
泸定李凉粉,传统小吃,甘孜州,甘孜州泸定县,102.23,29.92,是泸定流传多年的街头老牌风味，精选本地豌豆手工磨浆、自然蒸制，凉粉晶莹剔透、爽滑Q弹。淋上秘制红油、香醋、蒜蓉、花生碎，酸辣鲜香、清爽解腻，口感层次丰富，是大渡河边家喻户晓、老少皆宜的地道烟火小吃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/ludingliliangfen.jpg,12,"传统小吃,凉粉,酸辣爽滑"
邓家盐皮蛋,特色卤蛋,广安市,广安市广安区,106.6365,30.5185,集盐蛋的咸香与皮蛋的醇厚于一体，蛋黄沙糯不噎喉，蛋白紧实有嚼劲，是广安最具代表性的伴手礼。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/dengjiayanpidan.jpg,2,"特色卤蛋,盐皮蛋,咸香沙糯"
岳池米粉,主食/米粉类,广安市,广安市岳池县,106.3321,30.5432,细滑柔韧的米粉，搭配筒骨、肥肠等多种浇头，汤底醇厚鲜香，红油辣子是灵魂，是广安人早餐的标配。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/yuechimifen.jpg,12,"米粉,红油辣子,早餐标配"
顾县豆干,豆制品/小吃,广安市,广安市岳池县,106.3150,30.5089,经卤制、熏制多道工序，豆干柔韧弹牙，卤香浓郁，咸鲜入味，越嚼越香，可直接当零食吃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/guxiandougan.jpg,8,"豆制品,卤香柔韧,零食"
武胜渣渣鱼,江湖菜/鱼肴,广安市,广安市武胜县,106.0712,30.3484,选用江中小鱼炸至酥脆，再用麻辣底料翻炒入味，连刺都能嚼碎吃，麻辣鲜香，是下酒神器。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/wushengzhazhayu.jpg,40,"江湖菜,麻辣酥脆,下酒"
麻哥面,面食/特色小吃,广安市,广安市武胜县,106.2845,30.3678,武胜招牌面食，面条劲道，搭配秘制麻辣肉臊，口感黏软绵密，麻、辣、鲜、香层层递进，风味独特。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/magemian.jpg,14,"面食,麻辣肉臊,黏软绵密"
桂兴羊肉,汤锅/肉类,广安市,广安市前锋区,106.8912,30.4156,带皮坨坨羊肉炖锅，肉质软烂不膻，汤头浓郁醇厚，冬天吃暖身暖胃，是华蓥山一带的特色美味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/guixingyangrou.jpg,55,"汤锅,坨坨羊肉,软烂不膻"
女皇蒸凉面,特色小吃,广元市,广元市利州区,105.82,32.45,相传是武则天幼时爱吃的家常味道，米浆蒸制而非面粉，筋道温热，裹上红油蒜香，酸辣鲜爽，是广元人刻进骨子里的清晨烟火。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/nuhuangzhengliangmian.jpg,10,"特色小吃,蒸凉面,酸辣鲜爽"
剑门豆腐宴,特色宴席,广元市,广元市剑阁县,105.55,32.20,剑门山泉点出的豆腐嫩而紧实，从怀胎豆腐到灯笼豆腐，上百种做法各有风味，一关一豆腐，吃出蜀道烟火气。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/jianmendoufuyan.jpg,65,"特色宴席,豆腐,蜀道风味"
朝天核桃饼,传统点心,广元市,广元市朝天区,105.90,32.63,高山核桃碾碎入饼，炭火现烤出层层焦香，一口下去满是果仁油香与山野清香，是蜀道上流传千年的便携美味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/chaotianhetaobing.jpg,8,"传统点心,核桃,焦香"
酸菜豆花面,家常面食,广元市,广元市利州区,105.82,32.45,本地青菜腌出的酸香，搭配滑嫩豆花与手工面条，汤底鲜醇开胃，暖乎乎一碗，是广元人从小吃到大的暖心味道。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/suancaidouhuamian.jpg,12,"家常面食,酸菜豆花,开胃"
青川铜火锅,特色火锅,广元市,广元市青川县,105.23,32.59,老式铜锅炭火慢炖，山区腊肉、土鸡、野菌同煮，腊香醇厚、汤汁浓郁，寒冬围炉而食，一口暖到心底。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/qingchuantonghuoguo.jpg,75,"特色火锅,铜锅,腊香醇厚"
昭化肥肠,特色菜肴,广元市,广元市昭化区,105.71,32.33,昭化古城的招牌老味道，肥肠处理得干净无腥，红油爆炒后软糯弹牙、香辣够味，配米饭堪称一绝，满是市井烟火气。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/zhaohuafeichang.jpg,40,"特色菜肴,肥肠,香辣软糯"
跷脚牛肉,特色汤锅,乐山市,乐山市市中区,103.72,29.58,百年传承的市井美味，清汤炖煮保留牛肉本味，肉质鲜嫩爽滑，蘸上干碟风味十足，鲜香醇厚越吃越回味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/qiaojiaoniurou.jpg,50,"特色汤锅,牛肉,鲜嫩爽滑"
甜皮鸭,卤味小吃,乐山市,乐山市市中区,103.78,29.55,鸭肉卤制后裹上糖浆煎炸，外皮色泽油亮酥脆，内里肉质紧实多汁，甜咸交织的口感独具当地风情。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/tianpiya.jpg,40,"卤味小吃,甜皮鸭,甜咸酥脆"
钵钵鸡,特色冷食,乐山市,乐山市市中区,103.77,29.54,荤素食材浸泡鲜香汤底，红油麻辣浓郁，藤椒清爽开胃，口感劲道入味，是夏日极具代表性的爽口美食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/boboji.jpg,38,"特色冷食,钵钵鸡,麻辣藤椒"
乐山豆腐脑,风味小吃,乐山市,乐山市五通桥区,103.83,29.48,浓稠汤汁搭配嫩滑豆花，佐以粉蒸牛肉与酥脆馓子，层次丰富，麻辣鲜香，一口尽显本地烟火滋味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/leshandoufunao.jpg,12,"风味小吃,豆腐脑,麻辣鲜香"
油炸串串,市井小吃,乐山市,乐山市市中区,103.76,29.56,特色卤油现炸食材，外皮焦香内里软嫩，香气浓郁不油腻，蘸取调料食用，地道街头风味满满。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/youzhachuanchuan.jpg,32,"市井小吃,油炸串串,焦香软嫩"
鲜肉烧麦,传统点心,乐山市,乐山市市中区,103.79,29.53,薄透外皮包裹饱满肉馅，咬开汁水丰盈，鲜香浓郁，搭配清汤食用，是当地人钟爱的经典早点。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/xianroushaomai.jpg,12,"传统点心,烧麦,汁水丰盈"
彝族坨坨肉,彝族传统硬菜,凉山州,凉山州西昌市,102.27,27.88,选用高山放养乌金猪，大块清水炖煮，保留肉质本香，搭配木姜子提味，粗犷豪迈，是彝族待客最高礼遇。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/yizutuotuorou.jpg,65,"彝族硬菜,坨坨肉,木姜子"
西昌火盆烧烤,特色烧烤,凉山州,凉山州西昌市,102.26,27.87,凉山标志性烟火美味，炭火烤制小香猪、小肠、乌洋芋，蘸秘制干碟，香辣过瘾，充满山野市井气息。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/xichanghuopenshaokao.jpg,80,"特色烧烤,火盆烧烤,香辣过瘾"
邛海醉虾,特色湖鲜,凉山州,凉山州西昌市,102.28,27.86,取自邛海鲜活小虾，米酒腌渍去腥提鲜，搭配椒香，入口鲜甜冰爽，是西昌独有的江湖风味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/qionghaizuixia.jpg,40,"特色湖鲜,醉虾,鲜甜冰爽"
德昌鸡火丝,非遗小吃,凉山州,凉山州德昌县,102.15,27.42,鸡汤打底、火腿提鲜、粉丝爽滑，汤清味鲜、层次细腻，是凉山家喻户晓的温润治愈早餐。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/dechangjihuosi.jpg,14,"非遗小吃,鸡火丝,汤清味鲜"
建昌板鸭,传统腊味,凉山州,凉山州西昌市,102.26,27.89,古法腌制风干，鸭皮红润油亮，肉质紧实咸香不腻，风味浓郁，是凉山最具代表性的特产美食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/jianchangbanya.jpg,50,"传统腊味,板鸭,咸香紧实"
会理羊肉粉,地方特色小吃,凉山州,凉山州会理市,102.05,28.08,鲜羊骨慢熬浓汤，米粉柔韧，点缀薄荷去腥增香，汤鲜味正，暖身暖胃，是川滇交界经典味道。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/huiliyangroufen.jpg,15,"地方小吃,羊肉粉,汤鲜味正"
冷吃兔,盐帮硬菜,自贡市,自贡,104.77,29.35,自贡招牌菜，兔丁与干辣椒、花椒、菜籽油慢炒，麻辣干香、越嚼越香，可真空作伴手礼,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/lengchitu.jpg,50,"盐帮菜,冷吃兔,麻辣干香"
鲜锅兔,盐帮硬菜,自贡市,自贡,104.77,29.35,现杀仔兔配仔姜、小米辣猛火爆炒，鲜辣嫩滑，汤汁浓郁，拌饭一绝,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/xianguotu.jpg,55,"盐帮菜,鲜锅兔,鲜辣嫩滑"
厕所兔,盐帮硬菜,自贡市,自贡,104.77,29.35,因老店毗邻公厕得名，经典干锅兔肉做法，肉质紧实细嫩，麻辣醇厚入味，地道市井盐帮风味，本地人聚餐常选,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/cesuotu.jpg,45,"盐帮菜,干锅兔,麻辣醇厚"
富顺豆花,非遗小吃,自贡市,自贡富顺,105.00,29.18,滑嫩豆花配糍粑海椒蘸水，咸香麻辣，是解辣神器，搭配甑子饭堪称绝配,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/fushundouhua.jpg,18,"非遗小吃,豆花,糍粑海椒"
火边子牛肉,非遗卤味,自贡市,自贡,104.77,29.35,自贡传统名菜，牛后腿肉腌制熏烤，薄如蝉翼、可透光，酥香化渣、咸香回甘,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/huobianziniurou.jpg,40,"非遗卤味,牛肉,薄如蝉翼"
桥头三嫩,盐帮江湖菜,自贡市,自贡贡井,104.75,29.37,爆炒天花板，火爆猪肝、腰花、肚头，猛火快炒、嫩而不腥、鲜辣呛香,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/qiaotousannen.jpg,38,"盐帮江湖菜,爆炒,嫩而不腥"
牛佛烘肘,传统宴席菜,自贡市,自贡富顺,105.11,29.03,沱江古镇名菜，猪肘经卤、烘、焖多道工序，色泽红亮、皮糯肉耙、肥而不腻,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/niufohongzhou.jpg,70,"传统宴席菜,猪肘,皮糯肉耙"
