name,level,city,location,longitude,latitude,description,image_url,ticket_price,rating,opening_hours,season_best
杜甫草堂,4A,成都市,成都市青羊区,104.03,30.66,唐代诗人杜甫流寓成都时的故居，是杜甫在成都居住近四年的地方，完整保留了茅屋故居、园林景观和馆藏文物，记录了杜甫“安得广厦千万间，大庇天下寒士俱欢颜”的理想与情怀。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/dufucaotang.jpg,50,4.5,08:00-18:00,全年
宽窄巷子,4A,成都市,成都市青羊区,104.06,30.67,由宽巷子、窄巷子、井巷子三条平行排列的清代古街巷组成，保留了老成都的青砖墙、四合院和市井风貌，汇聚了特色茶馆、文创店铺、美食小店和民俗表演。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/kuanzhaixiangzi.jpg,0,4.5,全天开放,全年
八台山,4A,达州市,达州市万源市,108.16,31.55,有着川东峨眉的美誉，主峰地势高耸，是四川观赏日出云海的绝佳之地。山间景致四季各不相同，春日杜鹃漫山盛放，冬日雪景纯净壮阔，悬空栈道、梯田风光错落分布，自然风貌雄奇秀美。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/bataishan.jpg,100,4.3,08:00-17:30,春秋季
巴山大峡谷,4A,达州市,达州市宣汉县,108.23,31.43,属于典型喀斯特峡谷地貌，峡谷纵深绵长，山林植被繁茂，空气清新宜人。景区囊括溶洞、溪流、峻岭多种景观，还留存古老巴文化印记，搭配浓郁土家族风情，是休闲避暑感受民俗的好去处。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/bashandaxiagu.jpg,120,4.4,08:00-17:00,夏季（6-9月）
賨人谷,4A,达州市,达州市渠县,106.95,30.85,古賨民族的文化发源地，山水风光灵动秀丽。崖壁存有古老穴居遗迹与悬棺景观，地下溶洞钟乳石形态各异，地下暗河流水潺潺，自然山水与千年人文历史相互交融，底蕴十足。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/congrengu.jpg,49,4.2,08:30-17:30,春夏秋季
真佛山,4A,达州市,达州市达川区,107.52,31.08,少见的儒释道三教融合圣地，古寺建筑群依山修建，楼阁古雅精巧。四周林木葱郁，时常云雾缭绕，宗教文化氛围浓厚，登高望远视野开阔，适合静心游览感悟文化魅力。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/zhenfoshan.jpg,38,4.2,08:00-18:00,全年
凤凰山,4A,达州市,达州市通川区,107.49,31.22,达州标志性城市山林公园，山体形态形似凤凰。园内设有纪念馆、亭台楼阁，承载本地历史文化与红色记忆，登顶可俯瞰整座城市全貌，日常休闲登高游玩十分合适。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/fenghuangshan.jpg,0,4.3,全天开放,全年
五峰山国家森林公园,4A,达州市,达州市大竹县,107.22,30.77,坐拥大片连片竹海，满眼翠绿清幽静谧，享有川东竹海的美名。园内溪流山石相伴，生态环境优越，依托竹林打造特色景观，沉浸式体验独特的竹乡自然风光。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/wufengshan.jpg,50,4.2,08:00-18:00,夏季（6-9月）
三星堆博物馆,4A,德阳市,德阳市广汉市,104.22,31.00,享誉世界的古蜀文明遗址，出土大量造型奇特的青铜器物、黄金饰品，文物风格神秘独特，见证了悠久灿烂的上古巴蜀文化，极具考古与观赏价值。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/sanxingdui.jpg,72,4.8,08:30-18:00,全年
白马关景区,4A,德阳市,德阳市罗江区,104.47,31.28,知名三国历史文化胜地，留存庞统祠、落凤坡等历史遗迹，古道山林风光秀美，历史典故丰富，漫步其间能够感受浓厚的三国人文气息。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/baimaguuan.jpg,40,4.3,08:30-17:30,春秋季
绵竹年画村,4A,德阳市,德阳市绵竹市,104.23,31.28,国家级非遗年画传承基地，村落民居色彩艳丽，处处布满年画元素，民俗氛围浓厚，还能亲手体验年画制作技艺，田园景致惬意舒心。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/mianzhunianhuacun.jpg,0,4.4,09:00-17:00,全年
德阳文庙,全国重点文物保护单位,德阳市,德阳市旌阳区,104.39,31.13,西南地区规模宏大、保存完好的古建筑群，殿宇气势雄伟，建筑工艺精巧，承载深厚儒家文化底蕴，是感受传统礼制文化的好去处。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/deyangwenmiao.jpg,0,4.4,09:00-17:00,全年
德阳石刻公园,城市休闲景区,德阳市,德阳市旌阳区,104.40,31.14,拥有超长巨型石刻艺术墙，浮雕雕刻栩栩如生，汇聚历史人文故事，雕塑景观气势磅礴，绿植环绕环境清幽，是市民休闲游玩的好去处。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/deyangshikegongyuan.jpg,0,4.3,全天开放,全年
孝泉古镇,4A,德阳市,德阳市旌阳区,104.28,31.25,历史悠久的孝文化古镇，留存诸多明清古建筑与古塔庙宇，民风淳朴，传统文化底蕴深厚，街巷间可以品尝当地特色风味小吃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/xiaoquanguzhen.jpg,0,4.2,全天开放,全年
稻城亚丁,5A,甘孜藏族自治州,甘孜州稻城县,100.28,28.36,被誉为蓝色星球上最后一片纯净净土，深藏在横断山脉深处。这里雪山连绵不绝，湖水澄澈通透，草甸辽阔柔软，空气干净得不染一丝尘埃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/daochengyading.jpg,146,4.7,07:00-17:00,秋季（9-10月）
海螺沟,5A,甘孜藏族自治州,甘孜州泸定县,102.02,29.58,隐匿在川西深山之中，是国内罕见的低海拔现代冰川秘境。亿万年地质变迁造就了壮阔的大冰瀑布，晶莹的冰川倾泻而下，气势磅礴震撼人心。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/hailuogou.jpg,90,4.5,08:00-17:00,秋冬季（11-3月）
木格措,4A,甘孜藏族自治州,甘孜州康定市,101.85,30.18,承载着浪漫的康定情歌传说，是川西最温柔的高山湖泊景区。辽阔的木格措圣湖被连绵雪山环抱，湖水湛蓝清澈，随着光线变幻出不同色彩。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/mugecuo.jpg,105,4.5,08:00-17:30,秋季（9-11月）
墨石公园,4A,甘孜藏族自治州,甘孜州道孚县,101.47,30.77,川西独一无二的异域星球地质奇观，是历经千万年地壳运动形成的糜棱岩石林。整片山体呈现出神秘的灰墨色，岩石形态嶙峋奇特、错落有致，随阳光角度变换呈现黑、蓝、灰多种色调。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/moshigongyuan.jpg,60,4.4,08:30-17:30,夏季（6-8月）
甲居藏寨,4A,甘孜藏族自治州,甘孜州丹巴县,101.90,30.90,被誉为中国最美乡村古镇，是百年嘉绒藏族聚居村落。错落有致的藏式碉楼依山而建，白墙红檐点缀在青山绿树之间，层层叠叠、古朴雅致。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/jiajucangzhai.jpg,50,4.5,全天开放,春季（3-4月）
泸定桥,4A,甘孜藏族自治州,甘孜州泸定县,102.23,29.92,横跨汹涌大渡河的百年铁索古桥，承载着厚重的红色革命历史。百余根铁索凌空横跨江面，脚下江水奔腾呼啸，风吹铁索微微摇晃，惊险壮阔。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/ludingqiao.jpg,10,4.4,08:00-18:00,全年
邓小平故里旅游区,5A,广安市,广安市广安区,106.6365,30.5185,青瓦白墙的三合院里，时光仿佛停留在了邓小平的少年时代。从朴素的故居到庄严肃穆的铜像广场，再到全面展现伟人一生的陈列馆，这里的一草一木都在轻声诉说着一位中国改革开放总设计师的初心与家国情怀。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/dengxiaopingguli.jpg,0,4.7,09:00-17:00,全年
华蓥山旅游区,4A,广安市,广安市华蓥市,106.8167,30.3094,这里的石头会讲故事。亿万年风雨雕琢出的喀斯特石林，像无数巨人在林间沉睡；而“双枪老太婆”的传说，又为这片山林染上了红色的热血与传奇。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/huayingshan.jpg,95,4.3,08:00-17:30,夏季（避暑）
天意谷,4A,广安市,广安市邻水县,106.8091,30.2630,沿着幽深的地缝一路向下，忽然，一道百米高的瀑布从山洞里奔涌而出，水声轰鸣，水雾漫天，这就是被称为“亚洲罕见洞中天河”的奇观。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/tianyigu.jpg,55,4.3,08:30-17:00,夏季（6-9月）
宝箴塞,4A,广安市,广安市武胜县,106.0712,30.3484,这是一座活的清代军事古堡。108道石门、8个天井，层层设防，像一个巨大的迷宫。段家大院的雕花木窗里，藏着曾经的烟火；高耸的碉楼上，仿佛还能听见过去的号角声。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/baozhensai.jpg,25,4.2,08:30-17:30,全年
神龙山巴人石头城,4A,广安市,广安市广安区,106.6450,30.4610,广安城边的这座石头城，是古巴国留给后人的密码。两千多米长的战国石城墙依山而建，瓮城、龙门关层层递进，站城墙可俯瞰全城。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/shenlongshan.jpg,0,4.1,08:00-18:00,全年
岳池低坑大瀑布,3A,广安市,广安市岳池县,106.1829,30.4634,当宽达130米的瀑布从崖壁上倾泻而下，水雾在阳光下织出彩虹，这就是被称为“亚洲第一宽瀑”的低坑大瀑布。你可以沿着步道走到瀑布脚下，甚至穿过水帘洞。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/yuechidikeng.jpg,40,4.2,08:30-17:30,夏季（6-9月）
剑门蜀道剑门关旅游景区,5A,广元市,广元市剑阁县,105.5531,32.2036,两崖如剑立，一门扼蜀道。这里藏着姜维守关的铁血往事，也留着李白“蜀道难，难于上青天”的千古喟叹。踏上悬空鸟道，脚下是万丈深渊，眼前是千年雄关。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/jianmenguan.jpg,105,4.5,08:00-17:30,春秋季
昭化古城,4A,广元市,广元市昭化区,105.7113,32.3344,青石板踏过三国烽烟，葭萌关藏着蜀汉兴衰。费祎墓前柏影婆娑，古戏楼里仍在唱着千年兴亡。红灯笼映着明清黛瓦，一砖一瓦，都是活着的巴蜀旧时光。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/zhaohuagucheng.jpg,45,4.3,全天开放,全年
翠云廊,4A,广元市,广元市剑阁县,105.4987,32.1752,三百里古柏连天际，张飞植柏的传说在风里流淌。2300岁的剑阁柏守着千年古道，阳光穿叶成金，每一道年轮都刻着蜀道的温柔与沧桑，被称为“蜀道活化石”。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/cuiyunlang.jpg,40,4.4,08:30-17:30,春秋季
皇泽寺,4A,广元市,广元市利州区,105.8235,32.4461,嘉陵江畔，凤凰山下，这里是全国唯一的女皇祀庙。则天殿里的真容石刻，摩崖壁上的千佛造像，都在静静诉说着一代女皇武则天的传奇人生。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/huangzesi.jpg,50,4.4,08:30-17:30,全年
千佛崖,4A,广元市,广元市利州区,105.8443,32.4744,峭壁临江，七千尊佛龛密如蜂巢。从西魏到盛唐，匠人的凿声穿越千年。最小的佛像仅三厘米，眉眼清晰；最大的造像临江而立，看尽嘉陵江潮起潮落。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/qianfoya.jpg,50,4.4,08:30-17:30,全年
明月峡,4A,广元市,广元市朝天区,105.9027,32.6259,古今六道同框的奇观在此上演，古栈道、驿道、公路、铁路并行不悖。栈孔里藏着先民的血汗，现代列车呼啸而过，一步千年，一边是蜀道难的悲壮，一边是山河新篇的壮阔。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/mingyuexia.jpg,80,4.3,08:00-18:00,春秋季
乐山大佛,5A,乐山市,乐山市市中区,103.7798,29.5452,岷江、青衣江、大渡河三江汇流处，一尊千年大佛临江而坐。从唐代工匠凿山造佛，到如今三江汇流的壮阔，每一道皱纹里都藏着千年的禅意与护佑。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/leshandafo.jpg,80,4.6,08:00-18:00,春秋季
峨眉山,5A,乐山市,乐山市峨眉山市,103.4823,29.5407,“峨眉天下秀”，云海翻涌、金顶佛光，千年古刹藏于云雾间。从报国寺到万佛顶，一路走过，是佛国的清幽，也是川蜀的灵秀，日出云海皆是人间仙境。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/emeishan.jpg,185,4.7,全天开放,全年
苏稽古镇,4A,乐山市,乐山市市中区,103.7156,29.5814,青衣江畔的千年古镇，青石板路上藏着老乐山的烟火气。跷脚牛肉的香气飘满老街，乌木博物馆里藏着时光的沉淀，一步一景，都是慢下来的川味日常。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/sujiguzhen.jpg,0,4.3,全天开放,全年
黑竹沟,4A,乐山市,乐山市峨边彝族自治县,103.1345,29.0021,被誉为“中国百慕大”的神秘秘境，原始森林、高山海子、彝族风情交织。迷雾笼罩的森林藏着无数传说，也是大熊猫的栖息地，每一步都像是走进了自然的奇幻秘境。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/heizhugou.jpg,50,4.2,08:30-17:30,夏季（6-9月）
嘉阳桫椤湖景区,4A,乐山市,乐山市犍为县,103.9327,29.1936,全世界唯一仍在运行的蒸汽窄轨小火车，穿过金黄的油菜花田，鸣着汽笛穿越时光隧道。桫椤湖的翠绿与蒸汽机车的复古交织，像一场开往春天的怀旧之旅。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/jiayangsuoluohu.jpg,80,4.6,08:00-17:00,春季（2-4月）
罗城古镇,4A,乐山市,乐山市犍为县,104.0345,29.2317,被誉为“东方诺亚方舟”，船形街的明清建筑至今保存完好。青瓦木檐下，老茶馆里人声鼎沸，一杯盖碗茶、一场川剧变脸，都是活在当下的明清烟火。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/luochengguzhen.jpg,0,4.3,全天开放,全年
邛海泸山风景区,4A,凉山彝族自治州,凉山州西昌市,102.2789,27.8762,四川第二大天然淡水湖，湖水澄澈碧波万顷。山间古寺静谧，湖畔四季风光不同，冬日群鸥齐飞，晨起环湖清风拂面，藏尽川西温柔湖山意境。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/qionghailushan.jpg,0,4.5,全天开放,全年
螺髻山旅游景区,4A,凉山彝族自治州,凉山州普格县,102.4135,27.3946,千峰叠翠、冰川海子星罗棋布，山间杜鹃漫山遍野。独有九十九里温泉瀑布依山而落，天然野趣，是藏在凉山深处的自然秘境。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/luojishan.jpg,130,4.4,08:00-17:30,夏季（5-8月）
泸沽湖（凉山盐源段）,4A,凉山彝族自治州,凉山州盐源县,100.7792,27.7531,高原明镜嵌于群山之间，湖水清澈透亮。承载古老摩梭走婚文化，走婚桥、情人滩、女神湾风光治愈，每一帧都是人间净土。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/luguhu.jpg,70,4.6,全天开放,全年
建昌古城,无评级（历史景区）,凉山彝族自治州,凉山州西昌市,102.2675,27.8814,历经六百年风雨的明代古城，青砖黛瓦古巷幽深。夜幕灯火璀璨，古楼巍峨，街巷烟火缭绕，尽显大凉山下的古城韵味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/jianchanggucheng.jpg,0,4.3,全天开放,全年
凉山彝族奴隶社会博物馆,专题文博景区,凉山彝族自治州,凉山州西昌市,102.2766,27.8745,全国唯一的彝族奴隶社会专题博物馆，馆藏千年彝族文物，完整记录凉山彝族古老民俗、历史变迁与民族文化底蕴。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/yizubowuguan.jpg,0,4.4,09:00-17:00（周一闭馆）,全年
会理古城,4A,凉山彝族自治州,凉山州会理市,102.0478,28.0793,千年川滇边陲古城，明清古建保存完好。钟鼓楼矗立城中，古巷古朴雅致，兼具川风滇韵，秋日满城石榴飘香，风情独特。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/huiligucheng.jpg,0,4.3,全天开放,全年
